coreinit.rpl includes a disassembler that gives us all the sprs.

+------+-------+--------+------------------+------------------+---------+---------+
| Dec  | Hex   | Name   | Read by          | Written by       | Read    | Write   |
|  977 | 0x3d1 | dcatr  | kernel           | kernel           | Super   |         | Set to same val as dcate by kernel.
|  984 | 0x3d8 | dmatl0 | kernel           |                  |         |         | Set to 0x10000000 by kernel.
|  985 | 0x3d9 | dmatu0 | kernel           |                  |         |         | Set to 0xC0000000 or <dynamic-val> by kernel.
|  985 | 0x3da | dmatr0 | kernel           |                  |         |         | Set to 0x20000000 or <dynamic-val> by kernel.
|  985 | 0x3db | dmatl1 | kernel           |                  |         |         | Set to 0xF4000000 by kernel.
|  985 | 0x3dc | dmatu1 | kernel           |                  |         |         | Set to 0xF6000000 by kernel.
|  985 | 0x3dd | dmatr1 | kernel           |                  |         |         | Set to 0x00000000 by kernel.
| 1007 | 0x3ef | pir    | kernel, coreinit |                  |         |         |
| 1008 | 0x3f0 | hid0   | kernel           | kernel, coreinit |         |         |
| 1009 | 0x3f1 | hid1   | kernel, coreinit |                  |         |         |
| 1010 | 0x3f2 | iabr   | kernel           |                  |         |         |
| 1011 | 0x3f3 | hid4   | coreinit         | kernel, coreinit |         |         |
| 1012 | 0x3f4 | tdcl   |                  |                  |         |         |
| 1013 | 0x3f5 | dabr   | kernel           |                  |         |         |
| 1017 | 0x3f9 | l2cr   | kernel           | kernel, coreinit |         |         |
| 1018 | 0x3fa | tdch   |                  |                  |         |         |
| 1019 | 0x3fb | ictc   |                  |                  |         |         |
| 1020 | 0x3fc | thrm1  |                  |                  |         |         |
| 1021 | 0x3fd | thrm2  |                  |                  |         |         |
| 1022 | 0x3fe | thrm3  | kernel           |                  | Super   |         |
